molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL51063,OC1CCCc2nc3cc(Cl)ccc3c(NCc3ccccc3)c21,1300.0,intermediate
CHEMBL298577,Nc1c2c(nc3cc(Cl)ccc13)CCCC2O,11.7,active
CHEMBL50578,OC1CCCc2nc3ccccc3c(NCCc3ccccc3)c21,3390.0,intermediate
CHEMBL1794987,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCc3cccs3)c21,15300.0,inactive
CHEMBL298674,OC1CCCc2nc3ccccc3c(NCc3ccc(F)cc3)c21,16700.0,inactive
CHEMBL298685,COc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1,10900.0,inactive
CHEMBL1794988,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCc3c(F)c(F)c(F)c(F)c3F)c21,12600.0,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,319.0,active
CHEMBL350442,C=Cc1cccn1N(C)c1ccncc1,100000.0,inactive
CHEMBL23455,Nc1c2c(nc3ccccc13)CCCC2O.O=C(O)/C=C\C(=O)O,4800.0,intermediate
CHEMBL29835,CCCN(c1ccncc1)n1ccc2ccccc21,100000.0,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,310.0,active
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,200.0,active
CHEMBL89011,Nc1c2c(nc3ccccc13)-c1ccccc1CO2,100000.0,inactive
CHEMBL50608,Nc1cc(-c2ccccc2)nc2ccccc12,100000.0,inactive
CHEMBL60167,Nc1c2c(nc3ccccc13)-c1ccccc1C2,480.0,active
CHEMBL89012,Nc1c2c(nc3ccccc13)-c1ccccc1CC2,4000.0,intermediate
CHEMBL314800,Nc1c2c(nc3ccccc13)-c1ccccc1CS2,100000.0,inactive
CHEMBL422685,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)C4CC4)C=C[C@@]31CCN(C)C2,17800000.0,inactive
CHEMBL100334,CN(CCOCCNC(=S)NC(=O)c1ccccc1)Cc1ccccc1,120.0,active
CHEMBL153912,CCNC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,4310000.0,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,590.0,active
CHEMBL155244,CCCCCCCCNC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,8820000.0,inactive
CHEMBL100819,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)-c1ccccc1C2=O)Cc1ccccc1,30.0,active
CHEMBL323618,c1ccc(NCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc1,390.0,active
CHEMBL347398,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)c4ccccc4F)C=C[C@@]31CCN(C)C2,14200000.0,inactive
CHEMBL98497,CN(CCOCCNC(=O)Nc1ccc([N+](=O)[O-])cc1)Cc1ccccc1,2300.0,intermediate
CHEMBL431058,COc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,26.0,active
CHEMBL154894,CCCCC(=O)O[C@H]1C=C[C@@]23CCN(C)Cc4ccc(OC)c(c42)O[C@H]3C1,14800000.0,inactive
CHEMBL100510,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,100.0,active
CHEMBL99605,CN(CCOCCNC(=S)NC1CCCCC1)Cc1ccccc1,1400.0,intermediate
CHEMBL347885,COc1ccc2c3c1O[C@H]1C[C@@H](OC(=O)CC(C)C)C=C[C@@]31CCN(C)C2,4290000.0,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,63.0,active
